id,country,currency,code,symbol,thousand_separator,decimal_separator,created_at,updated_at,status
35,Egypt,Ø§Ù„Ø¬Ù†ÙŠØ© Ø§Ù„Ù…ØµØ±ÙŠ,EGP,?????,",",.,10/27/2022 18:21,10/27/2022 18:21,1
36,El Salvador,Colones,SVC,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
37,England [United Kingdom],Pounds,GBP,£,",",.,10/27/2022 18:21,10/27/2022 18:21,1
38,Euro,Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
39,Falkland Islands,Pounds,FKP,£,",",.,10/27/2022 18:21,10/27/2022 18:21,1
40,Fiji,Dollars,FJD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
41,France,Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
42,Ghana,Cedis,GHS,¢,",",.,10/27/2022 18:21,10/27/2022 18:21,1
43,Gibraltar,Pounds,GIP,£,",",.,10/27/2022 18:21,10/27/2022 18:21,1
44,Greece,Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
45,Guatemala,Quetzales,GTQ,Q,",",.,10/27/2022 18:21,10/27/2022 18:21,1
46,Guernsey,Pounds,GGP,£,",",.,10/27/2022 18:21,10/27/2022 18:21,1
47,Guyana,Dollars,GYD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
48,Holland [Netherlands],Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
49,Honduras,Lempiras,HNL,L,",",.,10/27/2022 18:21,10/27/2022 18:21,1
50,Hong Kong,Dollars,HKD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
51,Hungary,Forint,HUF,Ft,",",.,10/27/2022 18:21,10/27/2022 18:21,1
52,Iceland,Kronur,ISK,kr,",",.,10/27/2022 18:21,10/27/2022 18:21,1
53,India,Rupees,INR,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
54,Indonesia,Rupiahs,IDR,Rp,",",.,10/27/2022 18:21,10/27/2022 18:21,1
55,Iran,Rials,IRR,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
56,Ireland,Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
57,Isle of Man,Pounds,IMP,£,",",.,10/27/2022 18:21,10/27/2022 18:21,1
58,Israel,New Shekels,ILS,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
